Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8036564k(1701328k free), swap 13829772k(2261584k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2.889: [GC (Allocation Failure) 2.889: [DefNew: 959K->63K(960K), 0.0018044 secs] 17212K->16463K(524224K), 0.0020022 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 def new generation   total 960K, used 906K [0x00000000e0000000, 0x00000000e0100000, 0x00000000e0100000)
  eden space 896K,  93% used [0x00000000e0000000, 0x00000000e00d28d0, 0x00000000e00e0000)
  from space 64K,  99% used [0x00000000e00f0000, 0x00000000e00ffff0, 0x00000000e0100000)
  to   space 64K,   0% used [0x00000000e00e0000, 0x00000000e00e0000, 0x00000000e00f0000)
 tenured generation   total 523264K, used 16440K [0x00000000e0100000, 0x0000000100000000, 0x0000000100000000)
   the space 523264K,   3% used [0x00000000e0100000, 0x00000000e110e0f8, 0x00000000e110e200, 0x0000000100000000)
 Metaspace       used 18675K, capacity 18910K, committed 19072K, reserved 1067008K
  class space    used 2257K, capacity 2317K, committed 2432K, reserved 1048576K
